english|russian
RACK be racked with guilt She is racked with guilt for not acting on earlier suspicions.|СТОЙКА Она мучается чувством вины за то, что не приняла меры в связи с возникшими ранее подозрениями.
MY-TREAT  Ollie is insisting that it's his treat so let him pay.|MY-TREAT  Олли настаивает, что это его угощение, так что пусть платит.
INNATE Her dance expresses the innate beauty of the human spirit.|ВРОЖДЕННЫЙ Ее танец выражает врожденную красоту человеческого духа.
OBSCURE Managers deliberately obscured the real situation from federal investigators.|НЕЯСНЫЙ Менеджеры намеренно скрывали реальную ситуацию от федеральных следователей.
RACK be racked with guilt She is racked with guilt for not acting on earlier suspicions.|СТОЙКА Она мучается чувством вины за то, что не приняла меры в связи с возникшими ранее подозрениями.
PERPETUAL  He has hard, cold eyes and his mouth is set in a perpetual sneer.|ВЕЧНЫЙ  У него жесткие, холодные глаза и вечная усмешка.
EXTRACT extract from sth In addition to its news, sport, and business coverage, the online version of the paper includes extracts from the weekend magazine.|ИЗВЛЕЧЬ Выдержки из чего-л. В дополнение к новостям, спортивным и деловым материалам онлайн-версия газеты содержит выдержки из журнала выходного дня.
TIDE We must look for ways of stemming (= stopping) the rising tide of protest.|ПРИЛИВ Мы должны искать способы сдерживания (= остановки) нарастающей волны протеста.
REFRAIN Every year we hear the same refrain, that women are making great strides in business.|ВОЗДЕРЖИВАТЬСЯ Каждый год мы слышим одну и ту же фразу о том, что женщины добиваются больших успехов в бизнесе.
HONORABLE The neighbors are decent, honorable people.|ПОЧЕТНЫЙ Соседи - достойные, благородные люди.
GRACEFUL She finally apologized, but she wasn't very graceful about it.|ИЗЯЩНЫЙ В конце концов она извинилась, но сделала это не слишком изящно.
REALM  The matter was hotly debated in all the towns of the realm.|ЦАРСТВО  Этот вопрос горячо обсуждался во всех городах королевства.
PREVAIL prevail over sth They complained that corporate interests often prevailed over the needs of the individual.|ПРЕОБЛАДАТЬ Преобладать над чем-л. Они жаловались, что корпоративные интересы часто преобладают над потребностями человека.
RIG Several insurance companies have been accused of rigging their computer programs to produce artificially low values for injury claims.|БУРОВАЯ УСТАНОВКА Несколько страховых компаний были обвинены в подтасовке компьютерных программ для получения искусственно заниженных сумм по искам о возмещении ущерба.
ELABORATE elaborate on The congresswoman said she was resigning, but refused to elaborate on her reasons for doing so.|РАЗРАБОТАТЬ Конгрессвумен заявила, что уходит в отставку, но отказалась подробно рассказать о своих причинах.
LOATHE From an early age the brothers have loathed each other.|НЕНАВИДЕТЬ С ранних лет братья ненавидят друг друга.
COMB comb something out I've been trying to comb out (= remove using a comb) the knots in her hair.|РАСЧЕСКА вычесывать что-то Я пытался вычесать (= удалить с помощью расчески) колтуны в ее волосах.
SIDEWALK Keep on the sidewalk, Rosie, there's a good girl.|ТРОТУАР Продолжай идти по тротуару, Рози, это хорошая девочка.
MOP The child’s face was framed by a mop of brown curls.|ШВАБРА Лицо ребенка обрамляла копна каштановых кудрей.
PUNCTUAL punctual payment/service/delivery We are committed to providing a punctual and reliable service.|ПУНКТУАЛЬНЫЙ пунктуальная оплата/обслуживание/доставка Мы стремимся обеспечить пунктуальное и надежное обслуживание.
REAP reap benefits/rewards The Treasury has reaped rewards from rising house prices as its income from stamp duty and inheritance tax has soared.|ПОЖИНАТЬ reap benefits/rewards Казначейство извлекло выгоду из роста цен на жилье, поскольку его доходы от гербового сбора и налога на наследство резко возросли.
PRONE The photograph showed a man lying prone on the pavement, a puddle of blood around his head.|СКЛОННЫЙ На фотографии был изображен человек, лежащий на тротуаре, вокруг его головы - лужа крови.
DEFY defy the law The fact that aircraft don't fall out of the sky always seems to me to defy (= act against) the law of gravity.|БРОСИТЬ ВЫЗОВ Тот факт, что самолеты не падают с неба, всегда кажется мне нарушением (= противодействием) закона гравитации.
RESIGN resign your job/position/post She will resign her position as CEO of the company at the end of the year.|УЙТИ В ОТСТАВКУ Уйти с работы/позиции/должности Она уйдет с поста генерального директора компании в конце года.
COMMODITY Returning barren fields to their natural state as wetlands creates a host of "wetland mitigation credits," a commodity the company plans to sell. |ТОВАР Возвращение бесплодных полей в их естественное состояние в виде водно-болотных угодий создает множество "кредитов на смягчение воздействия водно-болотных угодий", которые компания планирует продавать.
CHERISH  Freedom of speech is a cherished (= carefully protected) right in this country.|ЛЕЛЕЯТЬ undefined
CONTEMPT treat someone/something with contempt You should treat those remarks with the contempt that they deserve.|ПРЕЗРЕНИЕ Относиться к кому-то/чему-то с презрением Вы должны относиться к этим замечаниям с презрением, которого они заслуживают.
SWELLING Put your foot into cold water to help the swelling go down.|ОТЕК Опустите ногу в холодную воду, чтобы снять отек.
INFLAMMATION Aspirin reduces pain and inflammation.|ВОСПАЛЕНИЕ Аспирин уменьшает боль и воспаление.
PUS a pus-filled wound|ГНОЙ заполненная гноем рана
RETALIATE She said she was fired in retaliation for her reports of illegal business practices earlier this year.|МСТИТЬ По ее словам, ее уволили в отместку за то, что в начале этого года она сообщила о незаконных методах ведения бизнеса.
SCOLD His mother scolded him for breaking her favourite vase.|РУГАТЬ Мать отругала его за то, что он разбил ее любимую вазу.
DIGRESS But I digress. To get back to what I was saying, this poem reflects the poet's love of nature and his religious beliefs.|ОТСТУПЛЕНИЕ Но я отвлекаюсь. Возвращаясь к тому, о чем я говорил, скажу, что это стихотворение отражает любовь поэта к природе и его религиозные убеждения.
AFFINITY  She has a real affinity with animals, so much that she often rescues strays that she finds in the street. |СРОДСТВО  Она очень любит животных, настолько, что часто спасает бездомных, которых находит на улице.
PETTY petty crime The neighbourhood is safe, but there's a fair amount of petty crime such as package theft and car break-ins.|МЕЛКИЕ Мелкая преступность Район безопасный, но здесь достаточно много мелких преступлений, таких как кражи пакетов и взломы автомобилей.
SPAN over a span of Over a span of just three years, the new government has transformed the country's economic prospects.|SPAN За три года новое правительство изменило экономические перспективы страны.
FABRIC  Competition from overseas fabric producers forced the company to shed 700 jobs.|ТКАНЬ  Конкуренция со стороны зарубежных производителей тканей вынудила компанию сократить 700 рабочих мест.
QUIRKY He was tall and had a quirky, off-beat sense of humour.|ПРИЧУДЛИВЫЙ Он был высокого роста и обладал причудливым, неординарным чувством юмора.
PRINCIPALITY Monaco is a principality.|КНЯЖЕСТВО Монако - это княжество.
PROVISION include/contain a provision Many contracts currently include a provision prohibiting supervisors from doing work done by union workers.|ПРЕДОСТАВЛЕНИЕ Включать/содержать положение Многие контракты в настоящее время включают положение, запрещающее руководителям выполнять работу, которую делают профсоюзные работники.
BONE-MARROW A bone marrow transplant can be risky.|КОСТНЫЙ МОЗГ Пересадка костного мозга может быть сопряжена с риском.
TUITION Many students take jobs to pay the tuition for their courses.|ОБУЧЕНИЕ Многие студенты устраиваются на работу, чтобы оплатить обучение.
PROCUREMENT procurement policy/procedure/rules We must ensure that the process follows strict EU procurement rules.|ЗАКУПКИ Политика/процедура/правила закупок Мы должны обеспечить, чтобы процесс соответствовал строгим правилам закупок ЕС.
BLITHE Without reading the contract, she blithely agreed to sign it.|BLITHE Не прочитав договор, она безропотно согласилась его подписать.
BILLOW  The wind rushes over the rolling billows, and no ferryboat can cross in such weather.|BILLOW  Ветер мчится по волнам, и ни один паром в такую погоду не сможет переправиться.
RUMMAGE  The chapters overlap and interrelate and readers in search of particular information will have to rummage. |РЫТЬСЯ  Главы перекликаются и взаимосвязаны, и читателю в поисках конкретной информации придется порыться.
RODENT Rodents are extremely diverse in their ecology and lifestyles, and account for 40 percent of all mammal species.|ГРЫЗУН Грызуны чрезвычайно разнообразны по своей экологии и образу жизни и составляют 40 процентов всех видов млекопитающих.
ELICIT  In this teaching practice, teachers elicit and build on their students' mathematical insights. |ELICIT  В рамках этой практики преподавания учителя выясняют и развивают математические способности своих учеников.
IMPENDING  The player announced his impending retirement from international football.|НАДВИГАЮЩИЙСЯ  Игрок объявил о своем скором уходе из международного футбола.
LOOM Stocks of heating oil are at their lowest levels for years, and another crisis may be looming.|ТКАЦКИЙ СТАНОК Запасы топочного мазута находятся на самом низком уровне за последние годы, и, возможно, назревает новый кризис.
RELUCTANT The poll also showed a reluctance to accept higher taxes, particularly at the local level.|НЕОХОТНО Опрос также показал нежелание принимать более высокие налоги, особенно на местном уровне.
SAVVY get/become savvy Repair facilities are going to get savvy and start checking out their customers a little more.|СМЕТЛИВЫЙ стать подкованными Ремонтные предприятия станут подкованными и начнут больше проверять своих клиентов.
HARROW  The ploughman harrows and sows, and then waits for the harvest.|БОРОНА  Пахарь боронует и сеет, а затем ждет урожая.
ARSON suspect arson A cinema was burned out in north London last night. Police suspect arson.|ПОДЖОГ Подозревают поджог Вчера вечером на севере Лондона сгорел кинотеатр. Полиция подозревает поджог.
CLOTH  [ C ] He used a damp cloth to clean the windshield.|ТКАНЬ  [ C ] Он использовал влажную ткань, чтобы очистить лобовое стекло.
REMINISCENT That song is so reminiscent of my adolescence.|НАПОМИНАНИЕ Эта песня так напоминает мне о моем подростковом возрасте.
PROLIFIC  Rabbits and other rodents are prolific (= have a lot of babies).|ПЛОДОВИТЫЙ  Кролики и другие грызуны плодовиты (= рожают много детей).
ETHEREAL  High, echoing string sounds give an ethereal quality to the music.|БЕСПЛОТНЫЙ  Высокие, отдающиеся эхом звуки струнных придают музыке неземной характер.
MERIT merit attention/discussion/investigation If complaints merit investigation, they should go the complaints committee.|ЗАСЛУГИ заслуживают внимания/обсуждения/расследования Если жалобы заслуживают расследования, они должны быть переданы в комитет по рассмотрению жалоб.
COMPLIANT compliant with sth The company expects to be reclassified as soon as its factories are fully compliant with the Federal Clean Air Act.|В СООТВЕТСТВИИ С ТРЕБОВАНИЯМИ Соответствие чему-л. Компания ожидает, что ее переклассифицируют, как только ее заводы будут полностью соответствовать Федеральному закону о чистом воздухе.
PROVIDENCE  There were many downed trees throughout Providence and throughout the neighbouring communities.|ПРОВИДЕНИЕ  По всему Провиденсу и в соседних населенных пунктах было повалено множество деревьев.
SAGE  my sage old grandfather|SAGE  мой мудрый старый дедушка
COMMOTION  He looked up to see what all the commotion was about.|СУМАТОХА  Он поднял голову, чтобы посмотреть, что это за суматоха.
DRAFT  To avoid the delay caused by sending a locally drawn cheque to Europe, banks can issue a draft in euros.|ПРОЕКТ  Чтобы избежать задержек, связанных с отправкой чека в Европу, банки могут выписать тратту в евро.
BENEVOLENT I grew up happily under the benevolent influence of my Uncle Walt.|БЛАГОТВОРИТЕЛЬНОСТЬ Я счастливо рос под благосклонным влиянием моего дяди Уолта.
HUMBLE  The world champion was humbled (= unexpectedly defeated) by an unknown outsider in last night's race.|СКРОМНЫЙ  Чемпион мира был унижен (= неожиданно побежден) неизвестным аутсайдером во вчерашней гонке.
MODEST She dresses according to modest Orthodox tradition, in a long skirt, long-sleeved jacket, and a hat to cover her hair.|СКРОМНО Она одевается в соответствии со скромными православными традициями - в длинную юбку, жакет с длинными рукавами и шляпу, закрывающую волосы.
ARTISAN State-of-the-art industrial manufacturing is complemented by the work of skilled seamstresses and artisans.|РЕМЕСЛЕННИК Современное промышленное производство дополняется работой искусных швей и ремесленников.
CYNIC  A cynic might say that the government has only taken this measure because it is concerned about its declining popularity.|ЦИНИК  Циник может сказать, что правительство пошло на эту меру только потому, что обеспокоено снижением своей популярности.
BLUNT Use a blunt instrument to smash the ginger and onion into the garlic.|ТУПОЙ Тупым предметом разбейте имбирь и лук в чеснок.
SMUG His attitude showed a smug indifference to the hardships others faced.|САМОДОВОЛЬНЫЙ Его отношение демонстрировало самодовольное безразличие к трудностям, с которыми сталкивались другие.
CONCEITED Without wishing to sound conceited, I am the best salesperson in the company.|ТЩЕСЛАВНЫЙ Не хочу показаться самодовольным, но я - лучший продавец в компании.
DILIGENT diligent in Their lawyer was extremely diligent in preparing their case.|УСЕРДНЫЙ Их адвокат очень старательно готовил их дело.
OATH The newly-elected Democrat took the oath of office in the Senate yesterday and quickly introduced his first bill.|ПРИСЯГА Новоизбранный демократ принял вчера присягу в Сенате и быстро представил свой первый законопроект.
AWE  You can't help but stand in awe of (= respect greatly and fear slightly) powerful people.|БЛАГОГОВЕНИЕ  Вы не можете не испытывать благоговения перед влиятельными людьми (= сильно уважать и слегка побаиваться).
LACKLUSTER The U.S. number-one tennis player gave a disappointingly lackluster performance.|НЕПРОЗРАЧНЫЙ Теннисистка, занимающая первое место в рейтинге США, выступила на редкость неудачно.
JUXTAPOSITION  An odd juxtaposition of talents worked exceedingly well on the project.|СОПОСТАВЛЕНИЕ  Странное сочетание талантов очень хорошо сработало на проекте.
GROUNDED The estimates of strong dividend growth are grounded on a steady recovery in the global economy.|ЗАЗЕМЛЕННЫЙ Прогнозы значительного роста дивидендов основаны на устойчивом восстановлении мировой экономики.
AMBIVALENTLY Fans responded ambivalently to the band's new album. |АМБИВАЛЕНТНО Поклонники неоднозначно отреагировали на новый альбом группы.
DESPAIRINGLY He rubbed his hand despairingly over his face.|В ОТЧАЯНИИ Он с отчаянием провел рукой по лицу.
AUGMENT He would have to find work to augment his income.|УВЕЛИЧИТЬ Ему придется найти работу, чтобы увеличить свой доход.
IMPARTIAL Many people do not believe that complaints against the police are impartially handled.|БЕСПРИСТРАСТНЫЙ Многие люди не верят, что жалобы на полицию рассматриваются беспристрастно.
HAPHAZARD Haphazard record-keeping made it difficult for the agency to keep track of its clients.|БЕССИСТЕМНЫЙ Беспорядочное ведение учета затрудняло работу агентства с клиентами.
LUDICROUS Some stories that initially seemed ludicrous turned out to be true.|СМЕХОТВОРНЫЙ Некоторые истории, которые поначалу казались нелепыми, оказались правдой.
TEDIOUS  Learning a new computer program can be a tedious process.|УТОМИТЕЛЬНЫЙ  Изучение новой компьютерной программы может быть утомительным процессом.
MUNDANE Mundane matters such as paying bills and shopping for food do not interest her.|ОБЫДЕННОЕ Обыденные дела, такие как оплата счетов и покупка продуктов, ее не интересуют.
SHALLOW Many natives see their rural way of life here increasingly circumscribed by outside "environmentalists" with shallow local roots.|НЕГЛУБОКИЙ Многие местные жители видят, что их сельский образ жизни все больше ограничивается сторонними "защитниками окружающей среды" с неглубокими местными корнями.
TRIVIAL Getting computers to understand human language is not a trivial problem.|ТРИВИАЛЬНЫЙ Заставить компьютеры понимать человеческий язык - задача не из простых.
PRINCIPLES In principle I agree that mothers should spend as much time as possible with their young children, but it isn’t easy.|ПРИНЦИПЫ В принципе, я согласна с тем, что матери должны проводить как можно больше времени со своими маленькими детьми, но это нелегко.
CONTEMPLATION lost in contemplation She was staring out over the lake, lost in contemplation.|СОЗЕРЦАНИЕ Она смотрела на озеро, погрузившись в раздумья.
SWIFT  The gazelle is one of the swiftest and most graceful of animals.|СТРЕМИТЕЛЬНЫЙ  Газель - одно из самых быстрых и грациозных животных.
STANCE a stance against/on/towards sth The government took a tough stance against terrorism.|ПОЗИЦИЯ позиция против чего-л. Правительство заняло жесткую позицию в борьбе с терроризмом.
ERRATIC  She can be very erratic; one day she is friendly and the next she'll hardly speak to you.|НЕУСТОЙЧИВЫЙ  Она может быть очень непостоянной: в один день она дружелюбна, а в другой - почти не разговаривает с вами.
ASSEMBLE the assembled company At the staff meeting, the manager told the assembled company (= everyone there) that no one would lose their job.|СОБРАТЬ собравшаяся компания На собрании персонала менеджер сказал собравшейся компании (= всем присутствующим), что никто не потеряет работу.
GLORIOUS  We had a glorious time in the south of France last summer.|СЛАВА  Прошлым летом мы прекрасно провели время на юге Франции.
DISCOVERY in discovery Among the thousands of documents Litt was able to obtain in discovery from the city was a memo written by a councilman's aide in response to one resident's complaint. |ОТКРЫТИЕ Среди тысяч документов, которые Литту удалось получить от города, была записка, написанная помощником члена совета в ответ на жалобу одного из жителей.
PREJUDICE prejudice against sb/sth The prejudice against hiring someone 50 or older is unsound, because of the value, wisdom, and experience older people bring to the workforce.|ПРЕДРАССУДКИ Предрассудки против кого-л. Предрассудки против приема на работу людей 50 лет и старше необоснованны, поскольку пожилые люди ценны, мудры и опытны в работе.
RESIGN resign your job/position/post She will resign her position as CEO of the company at the end of the year.|УЙТИ В ОТСТАВКУ Уйти с работы/позиции/должности Она уйдет с поста генерального директора компании в конце года.
SHALLOW Many natives see their rural way of life here increasingly circumscribed by outside "environmentalists" with shallow local roots.|НЕГЛУБОКИЙ Многие местные жители видят, что их сельский образ жизни все больше ограничивается сторонними "защитниками окружающей среды" с неглубокими местными корнями.
SUPERFICIAL There are superficial similarities between the two cars, but really they're very different in terms of performance.|ПОВЕРХНОСТНЫЙ Между этими двумя автомобилями есть поверхностное сходство, но на самом деле они очень разные по характеристикам.
ARTIFICIAL The actors were encouraged to speak in flat, speedy tones (= quality of the voice), reinforcing the artificiality of an already unreal-seeming piece.|ИСКУССТВЕННЫЙ Актеров поощряли говорить ровным, быстрым тоном (= качество голоса), усиливая искусственность и без того нереального произведения.
INTERMITTENT  Although she made intermittent movie appearances, she was essentially a stage actress.|ПРЕРЫВИСТЫЙ  Хотя она периодически снималась в кино, в основном она была сценической актрисой.
DROWSY The room is so warm it's making me feel drowsy.|СОНЛИВОСТЬ В комнате так тепло, что меня клонит в сон.
FAREWELL sad farewell Hundreds of mourners were there to bid a sad farewell to the star.|ПРОЩАНИЕ Печальное прощание Сотни скорбящих пришли на церемонию прощания со звездой.
HESITATION hesitation in formal I have no hesitation in recommending Ms Shapur for the job.|КОЛЕБАНИЯ Я без колебаний рекомендую г-жу Шапур для работы.
TAILOR tailor sth to sb's needs Some of the best growth prospects lie in tailoring products to customers' needs.|ПОРТНОЙ Приспособить что-л. к потребностям кого-л. Некоторые из лучших перспектив роста лежат в адаптации продуктов к потребностям клиентов.
DISPATCH Within seconds the university police can identify the exact origin of the alarm and dispatch officers to investigate.|ОТПРАВКА В течение нескольких секунд университетская полиция может определить точное происхождение сигнала тревоги и направить сотрудников для расследования.
CONTINGENCY "While it is impossible to account for every contingency, the industry historically has met demand and fully expects to do so this winter," said the American Petroleum Institute.|НЕПРЕДВИДЕННЫЕ ОБСТОЯТЕЛЬСТВА "Хотя невозможно предусмотреть все непредвиденные обстоятельства, исторически сложилось так, что отрасль удовлетворяет спрос, и мы полностью рассчитываем сделать это этой зимой", - заявили в Американском институте нефти.
RESCUE come to your rescue I didn't know anybody at the party, but the hostess came to my rescue (= helped me out of a difficult situation) by introducing me to a few people.|СПАСЕНИЕ прийти на помощь Я не знал никого на вечеринке, но хозяйка пришла мне на помощь (= помогла мне выйти из трудной ситуации), представив меня нескольким людям.
DISARRAY throw something into disarray The news had thrown his plans into disarray.|БЕСПОРЯДОК приводить что-либо в беспорядок Эта новость привела его планы в беспорядок.
INSULATED insulate something against something You can insulate a house against heat loss by having the windows double-glazed.|ИЗОЛИРОВАННЫЙ Изолировать что-либо от чего-либо Вы можете изолировать дом от потери тепла, установив двойное остекление окон.
DISCORD note of discord A note of discord has crept into relations between the two countries.|ДИСКОРД Нота раздора В отношения между двумя странами закралась нота раздора.
HYPOCRISY There's one rule for her and another rule for everyone else and it's sheer hypocrisy.|ЛИЦЕМЕРИЕ Есть одно правило для нее и другое для всех остальных, и это просто лицемерие.
WITHDRAWAL withdrawal (from) Doctors demanded the withdrawal of the drug (from the market) after several cases of dangerous side effects were reported.|ВЫВОД СРЕДСТВ Врачи потребовали отозвать препарат (с рынка) после того, как было зарегистрировано несколько случаев опасных побочных эффектов.
ADHESIVE The material is a clear film with an adhesive backing.|КЛЕЙ Материал представляет собой прозрачную пленку с клейкой основой.
EXAGGERATED  The slimming effect of wearing black has been greatly exaggerated. |ПРЕУВЕЛИЧЕННЫЙ  Эффект похудения от ношения черного цвета сильно преувеличен.
TWINE  Twine the different coloured threads together.|ШПАГАТ  Скрутите нити разных цветов вместе.
ADHERENCE adherence to sth Working with thousands of small farmers makes strict adherence to fair trade rules difficult.|ПРИВЕРЖЕННОСТЬ Соблюдение чего-л. Работа с тысячами мелких фермеров затрудняет строгое следование правилам справедливой торговли.
VICIOUS  The few who disagreed became the targets of vicious written attacks on the Internet.|ЗЛОБНЫЙ  Те немногие, кто не соглашался, становились объектами злобных письменных нападок в Интернете.
VIGOROUS Cutting the bush back in the autumn will help promote vigorous growth in the spring.|ЭНЕРГИЧНЫЙ Обрезка куста осенью будет способствовать активному росту весной.
GORE blood and gore It's a good film, but there's a lot of blood and gore in it.|GORE Кровь и зрелища Это хороший фильм, но в нем много крови и зрелищ.
AUDACITY [ + to infinitive ] Our mayor has the audacity to claim credit for improvements he had nothing to do with.|AUDACITY [ + к инфинитиву ] Наш мэр имеет наглость приписывать себе заслуги в улучшении ситуации, к которому он не имеет никакого отношения.
FRIVOLOUS frivolous claim In delivering the ruling, the judge agreed with the insurance company that the claim was frivolous.|ЛЕГКОМЫСЛЕННЫЙ При вынесении решения судья согласился со страховой компанией в том, что иск был необоснованным.
COVERT  The government was accused of covert military operations against the regime.|ТАЙНА  Правительство обвинили в тайных военных операциях против режима.
OVERT He refrained from overtly criticizing his opponent.|ОТКРЫТАЯ Он воздержался от открытой критики своего соперника.
HALO the halo around the moon|ГАЛО ореол вокруг луны
COMMENCE  [ + -ing verb ] Unfortunately, he commenced speaking before all the guests had finished eating.|НАЧАТЬ  [ + -ing verb] К сожалению, он начал говорить до того, как все гости закончили есть.
VESSEL blood vessel A heart attack is caused by the blood vessels that supply the blood to the heart muscle getting blocked.|СУДНО Кровеносный сосуд Сердечный приступ возникает из-за закупорки кровеносных сосудов, снабжающих кровью сердечную мышцу.
INDISPENSABLE indispensable to His long experience at the United Nations makes him indispensable to the talks.|НЕЗАМЕНИМЫЙ Незаменимый для Его многолетний опыт работы в Организации Объединенных Наций делает его незаменимым на переговорах.
DISPENSE  The County Federation of Labor is dispensing $3 million in aid to unemployed hotel and airport workers.|ДОЗАТОР  Окружная федерация труда выделяет 3 миллиона долларов в качестве помощи безработным работникам отелей и аэропортов.
NEGLECT  He neglects that poor dog - he never takes him for walks or gives him any attention.|ПРЕНЕБРЕЖЕНИЕ  Он пренебрегает бедным псом - никогда не выводит его на прогулку и не уделяет ему внимания.
OBJECTION objections to sth The two companies will learn this week whether there are still objections to the merger deal.|ВОЗРАЖЕНИЕ Возражения против чего-л. На этой неделе обе компании узнают, есть ли еще возражения против сделки по слиянию.
REVOLVE  The gun turret revolved until the gun was aimed at the advancing soldiers.|РЕВОЛЬВЕР  Орудийная башня вращалась, пока орудие не оказалось нацеленным на наступающих солдат.
AMALGAMATION amalgamation of sth The association was formed by the amalgamation of several regional environmental organizations.|СЛИЯНИЕ Объединение чего-л. Ассоциация была создана путем слияния нескольких региональных экологических организаций.
CONDEMN The terrorist action has been condemned as an act of barbarism and cowardice.|ОСУДИТЬ Террористическая акция была осуждена как акт варварства и трусости.
PROSECUTE prosecute a case/lawsuit The leader of the Justice Department team prosecuted a landmark lawsuit against tobacco companies.|ПРЕСЛЕДОВАТЬ Вести дело/иск Руководитель группы Министерства юстиции вел судебное разбирательство по знаковому иску против табачных компаний.
BANISH  They were banished (= sent out) from the library for making a noise.|ПРОГНАТЬ  Их изгнали (= выслали) из библиотеки за шум.
ATROCIOUS His Russian was atrocious, but he communicated.|ЗВЕРСКИЙ Его русский был ужасен, но он общался.
QUARREL They had a bitter quarrel about/over some money three years ago and they haven't spoken to each other since.|ССОРА Три года назад они крепко поссорились из-за денег и с тех пор не разговаривают друг с другом.
REVELATION [ C ] The first planet discovered around an ordinary star was a strange and unexpected revelation.|ОТКРОВЕНИЕ [ C ] Первая планета, обнаруженная вокруг обычной звезды, стала странным и неожиданным открытием.
AMBIGUOUS Many companies are appealing against the ruling, because the wording is ambiguous.|ДВУСМЫСЛЕННЫЙ Многие компании обжалуют это постановление, поскольку его формулировка неоднозначна.
RECKLESS reckless borrowing/lending/spending The government wants to crack down on decades of reckless lending by banks to unprofitable companies.|БЕЗРАССУДСТВО Безрассудное заимствование/кредитование/расходование Правительство хочет пресечь десятилетия безрассудного кредитования банками нерентабельных компаний.
DIVERGE diverge on/about sth Opinions diverge on whether the new CEO will be able to restore the company's reputation and profitability.|РАСХОДИТЬСЯ Расходиться во мнениях по поводу чего-л. Мнения расходятся в том, сможет ли новый генеральный директор восстановить репутацию и прибыльность компании.
TO-PEEL peel something off Peel off the backing strip and press the label down firmly.|ОЧИСТИТЬ Отклейте что-нибудь Отклейте подложку и плотно прижмите этикетку.
JIGGLE  The theatre filled with giggles and jiggles of anticipation until the lights went down.|КАЧАТЬ  Театр наполнился хихиканьем и покачиванием в предвкушении, пока не погас свет.
JINX There must be a jinx on our team – four of our best players were injured yesterday.|СГЛАЗ Должно быть, на нашей команде сглаз - четыре наших лучших игрока вчера получили травмы.
HOLISTIC holistic approach My doctor takes a holistic approach to disease.|ЦЕЛОСТНЫЙ целостный подход Мой врач придерживается целостного подхода к лечению заболеваний.
DEFECATION Normal defecation frequency varies from three times a day to three times a week.|ДЕФЕКАЦИЯ Нормальная частота дефекации варьируется от трех раз в день до трех раз в неделю.
DEFAMATION  One member of the team is suing for slander and defamation of character.|ДИФФАМАЦИЯ  Один из членов команды подал в суд за клевету и оскорбление личности.
PROVIDENCE  There were many downed trees throughout Providence and throughout the neighbouring communities.|ПРОВИДЕНИЕ  По всему Провиденсу и в соседних населенных пунктах было повалено множество деревьев.
PIVOT turn/revolve on a pivot The former guerrilla leader has become the pivot on which the country's emerging political stability turns/revolves (= it depends on him).|ПОВОРОТ Поворачиваться/вращаться на стержне Бывший партизанский лидер стал стержнем, на котором вращается/вращается зарождающаяся политическая стабильность в стране (= это зависит от него).
RECREATIONAL  Recreational fishing is allowed on the river.|РЕКРЕАЦИЯ  На реке разрешена любительская рыбалка.
DISGRACEFUL  [ + that ] It is disgraceful that children can get hold of drugs at school.|ПОЗОРНЫЙ  [Это позорно, что дети могут получить наркотики в школе.
